username,anime_id,my_watched_episodes,my_start_date,my_finish_date,my_score,my_status,my_rewatching,my_rewatching_ep,my_last_updated,my_tags
RedvelvetDaisuki,47,0,0000-00-00,0000-00-00,0,6,0.0,0,1355483500,
RedvelvetDaisuki,52,0,0000-00-00,0000-00-00,0,6,0.0,0,1355575702,
RedvelvetDaisuki,57,0,0000-00-00,0000-00-00,0,6,0.0,0,1365476306,
RedvelvetDaisuki,60,0,0000-00-00,0000-00-00,0,6,,0,1356013012,
RedvelvetDaisuki,68,0,0000-00-00,0000-00-00,0,6,,0,1356013198,
RedvelvetDaisuki,93,8,2013-02-02,0000-00-00,0,3,,0,1359785004,
RedvelvetDaisuki,104,0,0000-00-00,0000-00-00,0,6,0.0,0,1355483521,
RedvelvetDaisuki,107,0,0000-00-00,0000-00-00,0,6,0.0,0,1356016160,
RedvelvetDaisuki,108,0,0000-00-00,0000-00-00,0,6,0.0,0,1356016141,
RedvelvetDaisuki,121,51,2012-12-25,2012-12-27,6,2,,0,1356582419,"Military, Superpower, Shonen"
RedvelvetDaisuki,123,52,2015-03-16,2015-03-20,8,2,,0,1426856260,
RedvelvetDaisuki,130,0,0000-00-00,0000-00-00,0,6,,0,1358681992,
RedvelvetDaisuki,131,0,0000-00-00,0000-00-00,0,6,,0,1358681979,
RedvelvetDaisuki,134,13,2013-03-27,2013-03-27,5,2,,0,1364378494,
RedvelvetDaisuki,135,0,0000-00-00,0000-00-00,0,6,,0,1355485077,
RedvelvetDaisuki,136,0,0000-00-00,0000-00-00,0,6,,0,1355473831,
RedvelvetDaisuki,145,26,2014-01-01,2014-01-02,8,2,,0,1388654607,
RedvelvetDaisuki,149,12,2013-01-29,2013-01-29,2,2,,0,1359454377,
RedvelvetDaisuki,150,3,0000-00-00,0000-00-00,0,3,,0,1358948849,
RedvelvetDaisuki,153,0,0000-00-00,0000-00-00,0,6,0.0,0,1355483315,
RedvelvetDaisuki,164,1,2013-10-30,2013-10-30,9,2,,0,1383142904,9+
RedvelvetDaisuki,165,0,0000-00-00,0000-00-00,0,6,,0,1355483156,
RedvelvetDaisuki,198,0,0000-00-00,0000-00-00,0,6,0.0,0,1355484383,
RedvelvetDaisuki,199,1,0000-00-00,0000-00-00,8,2,,0,1355539935,
RedvelvetDaisuki,202,0,0000-00-00,0000-00-00,0,6,,0,1355483461,
RedvelvetDaisuki,205,26,2013-03-25,2013-03-27,8,2,,0,1364358860,
RedvelvetDaisuki,208,3,2013-03-21,2013-03-21,5,2,,0,1363845099,
RedvelvetDaisuki,209,0,0000-00-00,0000-00-00,0,6,0.0,0,1363845144,
RedvelvetDaisuki,226,13,2013-01-16,2013-01-16,4,2,,0,1358336748,"Sci-fi, Psychological"
RedvelvetDaisuki,227,6,2015-05-17,2015-05-17,8,2,,0,1431871495,
RedvelvetDaisuki,228,26,0000-00-00,0000-00-00,5,2,,0,1362661869,
RedvelvetDaisuki,235,0,0000-00-00,0000-00-00,0,6,,0,1355473736,
RedvelvetDaisuki,237,50,2015-06-09,2015-00-00,7,2,0.0,0,1518188566,
RedvelvetDaisuki,239,24,2013-03-05,2013-03-08,7,2,,0,1362746954,"Mystery, Thriller, Seinen, Classic"
RedvelvetDaisuki,243,2,0000-00-00,0000-00-00,0,3,,0,1357635049,
RedvelvetDaisuki,245,43,2016-03-12,2016-03-16,8,2,0.0,0,1458061953,
RedvelvetDaisuki,251,20,2013-01-09,0000-00-00,4,3,,0,1357918034,
RedvelvetDaisuki,252,0,0000-00-00,0000-00-00,0,6,0.0,0,1355484105,
RedvelvetDaisuki,258,0,0000-00-00,0000-00-00,0,6,0.0,0,1355483782,
RedvelvetDaisuki,268,6,2017-00-00,2017-00-00,9,2,0.0,0,1518187890,
RedvelvetDaisuki,270,13,2013-01-18,2013-01-18,4,2,,0,1395733083,
RedvelvetDaisuki,276,0,0000-00-00,0000-00-00,0,6,,0,1363611814,
RedvelvetDaisuki,279,0,0000-00-00,0000-00-00,0,6,0.0,0,1355485095,
RedvelvetDaisuki,320,0,0000-00-00,0000-00-00,0,6,,0,1355483939,
RedvelvetDaisuki,323,13,2018-03-10,2018-03-11,7,2,0.0,0,1520760783,
RedvelvetDaisuki,326,0,0000-00-00,0000-00-00,0,6,0.0,0,1355484248,
RedvelvetDaisuki,339,13,2018-02-22,2018-02-23,5,2,0.0,0,1519471836,
RedvelvetDaisuki,341,0,0000-00-00,0000-00-00,0,6,,0,1355964727,
RedvelvetDaisuki,345,12,2013-03-23,2013-03-23,6,2,,0,1364046761,"Seinen, Gothic"
RedvelvetDaisuki,355,0,0000-00-00,0000-00-00,0,6,0.0,0,1357404725,
RedvelvetDaisuki,356,0,0000-00-00,0000-00-00,0,6,,0,1356012466,
RedvelvetDaisuki,357,0,0000-00-00,0000-00-00,0,6,0.0,0,1365858591,
RedvelvetDaisuki,369,0,0000-00-00,0000-00-00,0,6,0.0,0,1355478012,
RedvelvetDaisuki,384,13,2013-01-03,2013-01-04,9,2,,0,1357314743,"Sci-Fi, Mystery, Thriller,Survival, Ecchi,  Seinen"
RedvelvetDaisuki,387,0,0000-00-00,0000-00-00,0,6,0.0,0,1355483281,
RedvelvetDaisuki,392,112,2017-04-00,2017-04-28,6,2,0.0,0,1493452598,
RedvelvetDaisuki,393,0,0000-00-00,0000-00-00,0,6,0.0,0,1364831795,
RedvelvetDaisuki,395,13,2013-01-04,2013-01-05,9,2,,0,1357379277,"Sci-Fi, Mystery, Thriller,Survival, Ecchi,  Seinen"
RedvelvetDaisuki,401,1,2014-03-05,0000-00-00,0,1,,0,1394022661,
RedvelvetDaisuki,405,0,0000-00-00,0000-00-00,0,6,0.0,0,1357561098,
RedvelvetDaisuki,419,0,0000-00-00,0000-00-00,0,6,0.0,0,1358942849,
RedvelvetDaisuki,430,1,2012-12-27,2012-12-27,5,2,,0,1356612395,"Military, Superpower, Shonen"
RedvelvetDaisuki,431,1,2013-09-00,2013-09-00,10,2,,0,1382453715,
RedvelvetDaisuki,437,1,2018-02-17,2018-02-17,10,2,0.0,0,1519197979,
RedvelvetDaisuki,438,0,0000-00-00,0000-00-00,0,6,,0,1355478305,
RedvelvetDaisuki,440,0,0000-00-00,0000-00-00,0,6,,0,1355483179,
RedvelvetDaisuki,442,1,2012-09-00,2012-09-00,7,2,0.0,0,1355472044,
RedvelvetDaisuki,457,2,2013-01-18,0000-00-00,6,3,,0,1358516673,
RedvelvetDaisuki,467,0,0000-00-00,0000-00-00,0,6,0.0,0,1356272812,
RedvelvetDaisuki,483,0,0000-00-00,0000-00-00,0,6,0.0,0,1355475876,
RedvelvetDaisuki,486,13,2013-03-02,2013-03-03,7,2,,0,1362285328,
RedvelvetDaisuki,512,1,2014-06-23,2014-06-23,7,2,,0,1403760031,
RedvelvetDaisuki,513,1,2014-06-26,2014-06-26,7,2,,0,1403759639,
RedvelvetDaisuki,514,3,2012-12-31,2012-12-31,5,2,,0,1356924949,Gothic
RedvelvetDaisuki,523,1,0000-00-00,0000-00-00,8,2,,0,1355539882,Supernatural
RedvelvetDaisuki,534,0,0000-00-00,0000-00-00,0,6,0.0,0,1355480627,
RedvelvetDaisuki,543,0,0000-00-00,0000-00-00,0,6,,0,1355477912,
RedvelvetDaisuki,553,5,0000-00-00,0000-00-00,0,3,,0,1357702410,
RedvelvetDaisuki,570,0,0000-00-00,0000-00-00,0,6,0.0,0,1355477951,
RedvelvetDaisuki,578,1,2013-11-17,2013-11-17,10,2,,0,1384669079,
RedvelvetDaisuki,584,24,2013-03-03,2013-00-00,6,2,,0,1374306246,
RedvelvetDaisuki,585,1,2014-06-22,2014-06-22,7,2,,0,1403616342,
RedvelvetDaisuki,594,0,0000-00-00,0000-00-00,0,6,0.0,0,1355472344,
RedvelvetDaisuki,597,1,2013-10-21,2013-10-21,6,2,,0,1382453621,
RedvelvetDaisuki,601,0,0000-00-00,0000-00-00,0,6,0.0,0,1355483392,
RedvelvetDaisuki,617,1,2014-10-20,2014-10-20,7,2,,0,1413820360,
RedvelvetDaisuki,620,0,0000-00-00,0000-00-00,0,6,,0,1355477865,
RedvelvetDaisuki,634,0,0000-00-00,0000-00-00,0,6,0.0,0,1355483352,
RedvelvetDaisuki,658,0,0000-00-00,0000-00-00,0,6,0.0,0,1355482379,
RedvelvetDaisuki,724,2,2013-02-04,2013-02-04,6,2,,0,1359973794,"Historical, Drama, Yaoi"
RedvelvetDaisuki,732,0,0000-00-00,0000-00-00,0,6,,0,1355477904,
RedvelvetDaisuki,741,0,0000-00-00,0000-00-00,0,6,,0,1359850288,Yaoi
RedvelvetDaisuki,746,2,2013-04-03,2013-04-03,6,2,,0,1365000874,Yaoi
RedvelvetDaisuki,747,0,0000-00-00,0000-00-00,0,6,,0,1360455351,Yaoi
RedvelvetDaisuki,761,0,0000-00-00,0000-00-00,0,6,0.0,0,1355472425,
RedvelvetDaisuki,762,0,0000-00-00,0000-00-00,0,6,0.0,0,1355472488,
RedvelvetDaisuki,777,10,2013-01-18,2013-01-18,3,2,,0,1358496619,
RedvelvetDaisuki,782,0,0000-00-00,0000-00-00,0,6,0.0,0,1355483671,
RedvelvetDaisuki,790,0,0000-00-00,0000-00-00,0,6,0.0,0,1355483624,
RedvelvetDaisuki,795,0,0000-00-00,0000-00-00,0,6,0.0,0,1355483408,
RedvelvetDaisuki,834,0,0000-00-00,0000-00-00,0,6,0.0,0,1355472544,
RedvelvetDaisuki,849,14,2013-01-26,2013-01-26,5,2,,0,1359268806,
RedvelvetDaisuki,850,0,0000-00-00,0000-00-00,0,6,,0,1359850134,"Yaoi
"
RedvelvetDaisuki,855,2,2013-04-17,0000-00-00,0,3,,0,1366197616,
RedvelvetDaisuki,861,3,2013-01-08,0000-00-00,0,3,,0,1357635082,
RedvelvetDaisuki,875,0,0000-00-00,0000-00-00,0,6,0.0,0,1355484166,
RedvelvetDaisuki,877,47,2014-07-09,2014-07-12,8,2,,0,1405160278,
RedvelvetDaisuki,885,1,2015-04-04,2015-04-04,5,2,,0,1428126188,
RedvelvetDaisuki,889,0,0000-00-00,0000-00-00,0,6,,0,1355482305,
RedvelvetDaisuki,907,0,0000-00-00,0000-00-00,0,6,,0,1359850843,Yaoi
RedvelvetDaisuki,918,7,2013-02-04,0000-00-00,0,3,,0,1360486129,
RedvelvetDaisuki,934,9,2013-01-06,0000-00-00,8,3,,0,1357455328,
RedvelvetDaisuki,936,1,2012-09-00,2012-09-00,7,2,0.0,0,1355472071,
RedvelvetDaisuki,967,22,2017-10-06,0000-00-00,0,1,0.0,0,1507613623,
RedvelvetDaisuki,1004,0,0000-00-00,0000-00-00,0,6,0.0,0,1355484325,
RedvelvetDaisuki,1013,0,0000-00-00,0000-00-00,0,6,,0,1360593309,"Seinen, Gothic"
RedvelvetDaisuki,1033,0,0000-00-00,0000-00-00,0,6,0.0,0,1355484141,
RedvelvetDaisuki,1072,0,0000-00-00,0000-00-00,0,6,0.0,0,1355484398,
RedvelvetDaisuki,1074,0,0000-00-00,0000-00-00,0,6,0.0,0,1355472429,
RedvelvetDaisuki,1085,0,0000-00-00,0000-00-00,0,6,,0,1355483831,
RedvelvetDaisuki,1136,0,0000-00-00,0000-00-00,0,6,0.0,0,1355483537,
RedvelvetDaisuki,1145,0,0000-00-00,0000-00-00,0,6,0.0,0,1355483333,
RedvelvetDaisuki,1192,0,0000-00-00,0000-00-00,0,6,,0,1355478037,
RedvelvetDaisuki,1210,24,2013-01-20,2013-01-20,9,2,,0,1358680505,
RedvelvetDaisuki,1216,1,2013-12-14,2013-12-14,6,2,,0,1387240365,
RedvelvetDaisuki,1222,0,0000-00-00,0000-00-00,0,6,,0,1376057715,"Shojo, Romance, Slice of Life, Drama"
RedvelvetDaisuki,1243,0,0000-00-00,0000-00-00,0,6,0.0,0,1355475079,
RedvelvetDaisuki,1246,0,0000-00-00,0000-00-00,0,6,,0,1361172749,"Psychological Mystery Military
"
RedvelvetDaisuki,1292,0,0000-00-00,0000-00-00,0,6,0.0,0,1359776898,
RedvelvetDaisuki,1412,23,2018-04-00,2018-04-00,9,2,0.0,0,1525445618,
RedvelvetDaisuki,1425,155,2018-05-00,2018-05-00,10,2,0.0,0,1525445712,
RedvelvetDaisuki,1457,0,0000-00-00,0000-00-00,0,6,0.0,0,1355483912,
RedvelvetDaisuki,1470,0,0000-00-00,0000-00-00,0,6,,0,1359732163,
RedvelvetDaisuki,1482,3,0000-00-00,0000-00-00,0,3,,0,1359805392,
RedvelvetDaisuki,1494,0,0000-00-00,0000-00-00,0,6,0.0,0,1355484986,
RedvelvetDaisuki,1508,0,0000-00-00,0000-00-00,0,6,0.0,0,1355484306,
RedvelvetDaisuki,1517,0,0000-00-00,0000-00-00,0,6,,0,1355484370,
RedvelvetDaisuki,1520,0,0000-00-00,0000-00-00,0,6,,0,1355483583,
RedvelvetDaisuki,1535,37,2012-10-00,2012-10-00,10,2,,0,1355472929,"Mystery, Thriller, Supernatural, Psychological, Shonen"
RedvelvetDaisuki,1556,0,0000-00-00,0000-00-00,0,6,0.0,0,1355485354,
RedvelvetDaisuki,1562,1,2013-01-31,0000-00-00,3,3,,0,1359628320,
RedvelvetDaisuki,1575,25,2012-12-22,2012-12-22,10,2,,0,1356188524,"Mystery, Thriller, Superpower, Military, Seinen"
RedvelvetDaisuki,1604,0,0000-00-00,0000-00-00,0,6,,0,1355480795,
RedvelvetDaisuki,1611,0,0000-00-00,0000-00-00,0,6,0.0,0,1355924709,
RedvelvetDaisuki,1639,1,2013-00-00,0000-00-00,8,2,,0,1375458865,
RedvelvetDaisuki,1686,1,2012-11-00,2012-11-00,7,2,0.0,0,1355472501,"Superpower, Shonen"
RedvelvetDaisuki,1689,3,2013-11-02,2013-11-02,4,2,,0,1383397476,
RedvelvetDaisuki,1690,0,0000-00-00,0000-00-00,0,6,0.0,0,1357405085,
RedvelvetDaisuki,1818,0,0000-00-00,0000-00-00,0,3,,0,1357830300,
RedvelvetDaisuki,1829,1,2013-11-01,2013-11-01,8,2,,0,1383320778,
RedvelvetDaisuki,1887,24,2013-02-06,2013-02-08,6,2,,0,1360334547,
RedvelvetDaisuki,1889,0,0000-00-00,0000-00-00,0,6,,0,1355474927,
RedvelvetDaisuki,1943,0,0000-00-00,0000-00-00,0,6,0.0,0,1355484222,
RedvelvetDaisuki,1952,0,0000-00-00,0000-00-00,0,6,,0,1355477892,
RedvelvetDaisuki,1953,9,0000-00-00,0000-00-00,6,2,,0,1356271824,"Military, Seinen"
RedvelvetDaisuki,2000,0,0000-00-00,0000-00-00,0,6,0.0,0,1355484281,
RedvelvetDaisuki,2001,27,2013-10-24,2014-02-01,8,2,,0,1391259273,
RedvelvetDaisuki,2025,15,2013-01-06,0000-00-00,4,3,,0,1357560742,
RedvelvetDaisuki,2034,24,2014-07-19,2014-07-27,6,2,,0,1407504695,
RedvelvetDaisuki,2035,12,2013-07-00,2013-07-00,5,2,,0,1374163596,
RedvelvetDaisuki,2144,1,2012-09-00,2012-09-00,6,2,,0,1355472095,
RedvelvetDaisuki,2148,4,2013-04-16,2013-04-20,7,2,,0,1366472593,Yaoi
RedvelvetDaisuki,2154,0,0000-00-00,0000-00-00,0,6,0.0,0,1355484428,
RedvelvetDaisuki,2161,0,0000-00-00,0000-00-00,0,6,0.0,0,1355484468,
RedvelvetDaisuki,2164,0,0000-00-00,0000-00-00,0,6,0.0,0,1364831283,
RedvelvetDaisuki,2167,7,0000-00-00,0000-00-00,2,3,,0,1357712727,
RedvelvetDaisuki,2216,0,0000-00-00,0000-00-00,0,6,0.0,0,1359123532,
RedvelvetDaisuki,2236,1,2013-03-17,2013-03-17,8,2,,0,1363487894,"Psychological, Romance, Time Travel"
RedvelvetDaisuki,2238,0,0000-00-00,0000-00-00,0,6,,0,1359975454,Yaoi
RedvelvetDaisuki,2246,0,0000-00-00,0000-00-00,0,6,,0,1355477774,
RedvelvetDaisuki,2248,0,0000-00-00,0000-00-00,0,6,0.0,0,1355472349,
RedvelvetDaisuki,2251,13,2013-01-30,2013-02-02,5,2,,0,1359772729,"Supernatural, Mafia"
RedvelvetDaisuki,2346,1,2013-01-22,2013-01-22,2,2,,0,1358839468,
RedvelvetDaisuki,2404,0,0000-00-00,0000-00-00,0,6,,0,1355964946,
RedvelvetDaisuki,2417,0,0000-00-00,0000-00-00,0,6,,0,1359851046,Yaoi
RedvelvetDaisuki,2472,1,2012-09-00,2012-09-00,7,2,,0,1355472139,
RedvelvetDaisuki,2476,0,0000-00-00,0000-00-00,0,6,0.0,0,1363446550,
RedvelvetDaisuki,2559,0,0000-00-00,0000-00-00,0,6,0.0,0,1364210994,
RedvelvetDaisuki,2562,0,0000-00-00,0000-00-00,0,6,0.0,0,1355482401,
RedvelvetDaisuki,2581,2,2013-02-02,0000-00-00,0,3,,0,1359774826,
RedvelvetDaisuki,2593,0,0000-00-00,0000-00-00,0,6,,0,1355483881,
RedvelvetDaisuki,2596,0,0000-00-00,0000-00-00,0,6,0.0,0,1355478630,
RedvelvetDaisuki,2605,12,2013-04-23,2013-04-25,7,2,,0,1366864908,"Comedy, Satire"
RedvelvetDaisuki,2622,0,0000-00-00,0000-00-00,0,6,,0,1355483560,
RedvelvetDaisuki,2759,1,2013-01-19,2013-01-19,6,2,,0,1358565229,"Sci-Fi, Psychological"
RedvelvetDaisuki,2889,1,2012-11-00,2012-11-00,6,2,,0,1355472525,"Superpower, Shonen"
RedvelvetDaisuki,2890,1,2010-00-00,0000-00-00,9,2,,0,1355539895,"Psychedelic, Fantasy, Studio Ghibli"
RedvelvetDaisuki,2904,25,2012-12-23,2012-12-23,10,2,,0,1356261860,"Mystery, Thriller, Superpower, Military, Seinen"
RedvelvetDaisuki,2994,2,0000-00-00,0000-00-00,7,2,,0,1355593975,"Mystery, Thriller, Supernatural, Psychological, Shonen"
RedvelvetDaisuki,3043,1,2011-00-00,0000-00-00,7,2,,0,1366617422,Classic Remake
RedvelvetDaisuki,3089,1,2015-04-04,2015-04-04,4,2,,0,1428136404,
RedvelvetDaisuki,3167,0,0000-00-00,0000-00-00,0,6,0.0,0,1364831815,
RedvelvetDaisuki,3228,13,2013-04-25,2013-04-27,7,2,,0,1367063069,"Comedy, Satire"
RedvelvetDaisuki,3231,13,2013-04-05,2013-04-05,5,2,,0,1365165293,
RedvelvetDaisuki,3323,0,0000-00-00,0000-00-00,0,6,,0,1355483951,
RedvelvetDaisuki,3342,0,0000-00-00,0000-00-00,0,6,0.0,0,1355479800,
RedvelvetDaisuki,3354,0,0000-00-00,0000-00-00,0,6,,0,1355965020,
RedvelvetDaisuki,3375,2,2013-03-26,2013-03-26,6,2,,0,1364262924,Yaoi
RedvelvetDaisuki,3407,0,0000-00-00,0000-00-00,0,6,0.0,0,1362480520,
RedvelvetDaisuki,3420,0,0000-00-00,0000-00-00,0,6,0.0,0,1355476491,
RedvelvetDaisuki,3457,13,2013-02-09,2013-02-09,5,2,,0,1360398813,"Supernatural, Shojo"
RedvelvetDaisuki,3470,24,2013-12-30,2014-01-01,4,2,,0,1388553553,comedy shojo
RedvelvetDaisuki,3488,1,2014-10-26,2014-10-26,5,2,,0,1414335864,
RedvelvetDaisuki,3508,0,0000-00-00,0000-00-00,0,6,,0,1355483683,
RedvelvetDaisuki,3588,51,2014-04-14,2014-05-14,8,2,,0,1400075593,
RedvelvetDaisuki,3652,0,0000-00-00,0000-00-00,0,6,0.0,0,1355477128,
RedvelvetDaisuki,3655,0,0000-00-00,0000-00-00,0,6,0.0,0,1365475273,
RedvelvetDaisuki,3656,0,0000-00-00,0000-00-00,0,6,,0,1359975592,Shonen ai
RedvelvetDaisuki,3701,0,0000-00-00,0000-00-00,0,6,,0,1364832458,9+
RedvelvetDaisuki,3784,1,2013-02-17,2013-02-17,7,2,,0,1361100817,"Sci-Fi, Psychological"
RedvelvetDaisuki,3829,0,0000-00-00,0000-00-00,0,6,0.0,0,1366200169,
RedvelvetDaisuki,3859,0,0000-00-00,0000-00-00,0,6,0.0,0,1355478542,
RedvelvetDaisuki,3901,3,2013-02-02,2013-02-02,5,2,,0,1359772791,"Supernatural, Mafia"
RedvelvetDaisuki,4021,12,2013-03-17,2013-03-17,5,2,,0,1363533351,"Shonen Ai, Slice of Life"
RedvelvetDaisuki,4039,0,0000-00-00,0000-00-00,0,6,,0,1360506910,
RedvelvetDaisuki,4063,2,0000-00-00,0000-00-00,4,3,,0,1359723399,
RedvelvetDaisuki,4081,0,2014-03-09,0000-00-00,0,3,,0,1394950082,
RedvelvetDaisuki,4134,0,0000-00-00,0000-00-00,0,6,0.0,0,1355472382,
RedvelvetDaisuki,4437,1,2012-10-00,2012-10-00,6,2,,0,1355472305,
RedvelvetDaisuki,4654,24,2013-01-31,2013-00-00,4,2,,0,1359726897,"Supernatural, Philosophical"
RedvelvetDaisuki,4715,0,0000-00-00,0000-00-00,0,6,0.0,0,1356015906,
RedvelvetDaisuki,4720,0,0000-00-00,0000-00-00,0,6,0.0,0,1365314481,
RedvelvetDaisuki,4725,0,0000-00-00,0000-00-00,0,6,0.0,0,1355476448,
RedvelvetDaisuki,4752,0,0000-00-00,0000-00-00,0,6,,0,1355473257,
RedvelvetDaisuki,4765,2,2013-06-08,2013-06-08,5,2,,0,1370701335,
RedvelvetDaisuki,4835,1,2012-11-00,2012-11-00,6,2,,0,1355472478,"Superpower, Shonen"
RedvelvetDaisuki,4866,1,2013-00-00,2013-00-00,8,2,,0,1375458909,
RedvelvetDaisuki,4872,3,2013-04-28,2013-04-29,7,2,,0,1367207163,"Comedy, Satire"
RedvelvetDaisuki,4879,0,0000-00-00,0000-00-00,0,6,0.0,0,1355482363,
RedvelvetDaisuki,4896,0,0000-00-00,0000-00-00,0,6,0.0,0,1355474999,
RedvelvetDaisuki,4898,24,2012-12-20,2012-12-21,9,2,,0,1370771196,
RedvelvetDaisuki,4921,1,2014-09-00,2014-09-00,6,2,,0,1413718569,
RedvelvetDaisuki,4975,12,2013-01-19,2013-01-19,6,2,,0,1358598174,"Mystery, Psychological, Seinen"
RedvelvetDaisuki,4981,0,0000-00-00,0000-00-00,0,6,0.0,0,1355482292,
RedvelvetDaisuki,5030,12,2013-12-31,2014-01-01,7,2,,0,1388562604,
RedvelvetDaisuki,5042,1,2013-11-16,0000-00-00,0,1,,0,1384571554,
RedvelvetDaisuki,5060,3,2013-01-19,0000-00-00,0,3,,0,1358607165,
RedvelvetDaisuki,5081,15,2013-04-04,2013-04-15,7,2,,0,1366015418,"Comedy, Harem, Supernatural, Shonen"
